"Question","Answer","Category","Group","Percentage"
"In general, how masculine or ""manly"" do you feel?","Very masculine","All Men",NA,37
"In general, how masculine or ""manly"" do you feel?","Very masculine","Age","18-34",29
"In general, how masculine or ""manly"" do you feel?","Very masculine","Age","35-64",42
"In general, how masculine or ""manly"" do you feel?","Very masculine","Age","65+",37
"In general, how masculine or ""manly"" do you feel?","Very masculine","Race","White",34
"In general, how masculine or ""manly"" do you feel?","Very masculine","Race","Non-White",44
"In general, how masculine or ""manly"" do you feel?","Very masculine","Children","Has Children",43
"In general, how masculine or ""manly"" do you feel?","Very masculine","Children","No Children",30
"In general, how masculine or ""manly"" do you feel?","Very masculine","Sexual Orientation","Straight",40
"In general, how masculine or ""manly"" do you feel?","Very masculine","Sexual Orientation","Gay/Bisexual",21
"In general, how masculine or ""manly"" do you feel?","Somewhat masculine","All Men",NA,46
"In general, how masculine or ""manly"" do you feel?","Somewhat masculine","Age","18-34",47
"In general, how masculine or ""manly"" do you feel?","Somewhat masculine","Age","35-64",46
"In general, how masculine or ""manly"" do you feel?","Somewhat masculine","Age","65+",47
"In general, how masculine or ""manly"" do you feel?","Somewhat masculine","Race","White",50
"In general, how masculine or ""manly"" do you feel?","Somewhat masculine","Race","Non-White",39
"In general, how masculine or ""manly"" do you feel?","Somewhat masculine","Children","Has Children",47
"In general, how masculine or ""manly"" do you feel?","Somewhat masculine","Children","No Children",46
"In general, how masculine or ""manly"" do you feel?","Somewhat masculine","Sexual Orientation","Straight",47
"In general, how masculine or ""manly"" do you feel?","Somewhat masculine","Sexual Orientation","Gay/Bisexual",49
"In general, how masculine or ""manly"" do you feel?","Not very masculine","All Men",NA,11
"In general, how masculine or ""manly"" do you feel?","Not very masculine","Age","18-34",13
"In general, how masculine or ""manly"" do you feel?","Not very masculine","Age","35-64",9
"In general, how masculine or ""manly"" do you feel?","Not very masculine","Age","65+",13
"In general, how masculine or ""manly"" do you feel?","Not very masculine","Race","White",11
"In general, how masculine or ""manly"" do you feel?","Not very masculine","Race","Non-White",11
"In general, how masculine or ""manly"" do you feel?","Not very masculine","Children","Has Children",6
"In general, how masculine or ""manly"" do you feel?","Not very masculine","Children","No Children",17
"In general, how masculine or ""manly"" do you feel?","Not very masculine","Sexual Orientation","Straight",10
"In general, how masculine or ""manly"" do you feel?","Not very masculine","Sexual Orientation","Gay/Bisexual",19
"In general, how masculine or ""manly"" do you feel?","Not at all masculine","All Men",NA,5
"In general, how masculine or ""manly"" do you feel?","Not at all masculine","Age","18-34",10
"In general, how masculine or ""manly"" do you feel?","Not at all masculine","Age","35-64",2
"In general, how masculine or ""manly"" do you feel?","Not at all masculine","Age","65+",3
"In general, how masculine or ""manly"" do you feel?","Not at all masculine","Race","White",4
"In general, how masculine or ""manly"" do you feel?","Not at all masculine","Race","Non-White",6
"In general, how masculine or ""manly"" do you feel?","Not at all masculine","Children","Has Children",3
"In general, how masculine or ""manly"" do you feel?","Not at all masculine","Children","No Children",6
"In general, how masculine or ""manly"" do you feel?","Not at all masculine","Sexual Orientation","Straight",3
"In general, how masculine or ""manly"" do you feel?","Not at all masculine","Sexual Orientation","Gay/Bisexual",10
"In general, how masculine or ""manly"" do you feel?","No answer","All Men",NA,1
"In general, how masculine or ""manly"" do you feel?","No answer","Age","18-34",0
"In general, how masculine or ""manly"" do you feel?","No answer","Age","35-64",1
"In general, how masculine or ""manly"" do you feel?","No answer","Age","65+",1
"In general, how masculine or ""manly"" do you feel?","No answer","Race","White",1
"In general, how masculine or ""manly"" do you feel?","No answer","Race","Non-White",0
"In general, how masculine or ""manly"" do you feel?","No answer","Children","Has Children",1
"In general, how masculine or ""manly"" do you feel?","No answer","Children","No Children",0
"In general, how masculine or ""manly"" do you feel?","No answer","Sexual Orientation","Straight",1
"In general, how masculine or ""manly"" do you feel?","No answer","Sexual Orientation","Gay/Bisexual",0
"How important is it to you that others see you as masculine?","Very important","All Men",NA,16
"How important is it to you that others see you as masculine?","Very important","Age","18-34",18
"How important is it to you that others see you as masculine?","Very important","Age","35-64",17
"How important is it to you that others see you as masculine?","Very important","Age","65+",13
"How important is it to you that others see you as masculine?","Very important","Race","White",11
"How important is it to you that others see you as masculine?","Very important","Race","Non-White",26
"How important is it to you that others see you as masculine?","Very important","Children","Has Children",17
"How important is it to you that others see you as masculine?","Very important","Children","No Children",15
"How important is it to you that others see you as masculine?","Very important","Sexual Orientation","Straight",16
"How important is it to you that others see you as masculine?","Very important","Sexual Orientation","Gay/Bisexual",11
"How important is it to you that others see you as masculine?","Somewhat important","All Men",NA,37
"How important is it to you that others see you as masculine?","Somewhat important","Age","18-34",38
"How important is it to you that others see you as masculine?","Somewhat important","Age","35-64",37
"How important is it to you that others see you as masculine?","Somewhat important","Age","65+",32
"How important is it to you that others see you as masculine?","Somewhat important","Race","White",38
"How important is it to you that others see you as masculine?","Somewhat important","Race","Non-White",35
"How important is it to you that others see you as masculine?","Somewhat important","Children","Has Children",37
"How important is it to you that others see you as masculine?","Somewhat important","Children","No Children",37
"How important is it to you that others see you as masculine?","Somewhat important","Sexual Orientation","Straight",38
"How important is it to you that others see you as masculine?","Somewhat important","Sexual Orientation","Gay/Bisexual",33
"How important is it to you that others see you as masculine?","Not too important","All Men",NA,28
"How important is it to you that others see you as masculine?","Not too important","Age","18-34",18
"How important is it to you that others see you as masculine?","Not too important","Age","35-64",31
"How important is it to you that others see you as masculine?","Not too important","Age","65+",37
"How important is it to you that others see you as masculine?","Not too important","Race","White",32
"How important is it to you that others see you as masculine?","Not too important","Race","Non-White",20
"How important is it to you that others see you as masculine?","Not too important","Children","Has Children",29
"How important is it to you that others see you as masculine?","Not too important","Children","No Children",27
"How important is it to you that others see you as masculine?","Not too important","Sexual Orientation","Straight",29
"How important is it to you that others see you as masculine?","Not too important","Sexual Orientation","Gay/Bisexual",36
"How important is it to you that others see you as masculine?","Not at all important","All Men",NA,18
"How important is it to you that others see you as masculine?","Not at all important","Age","18-34",26
"How important is it to you that others see you as masculine?","Not at all important","Age","35-64",15
"How important is it to you that others see you as masculine?","Not at all important","Age","65+",18
"How important is it to you that others see you as masculine?","Not at all important","Race","White",18
"How important is it to you that others see you as masculine?","Not at all important","Race","Non-White",19
"How important is it to you that others see you as masculine?","Not at all important","Children","Has Children",17
"How important is it to you that others see you as masculine?","Not at all important","Children","No Children",21
"How important is it to you that others see you as masculine?","Not at all important","Sexual Orientation","Straight",17
"How important is it to you that others see you as masculine?","Not at all important","Sexual Orientation","Gay/Bisexual",19
"How important is it to you that others see you as masculine?","No answer","All Men",NA,0
"How important is it to you that others see you as masculine?","No answer","Age","18-34",0
"How important is it to you that others see you as masculine?","No answer","Age","35-64",1
"How important is it to you that others see you as masculine?","No answer","Age","65+",0
"How important is it to you that others see you as masculine?","No answer","Race","White",0
"How important is it to you that others see you as masculine?","No answer","Race","Non-White",0
"How important is it to you that others see you as masculine?","No answer","Children","Has Children",0
"How important is it to you that others see you as masculine?","No answer","Children","No Children",0
"How important is it to you that others see you as masculine?","No answer","Sexual Orientation","Straight",0
"How important is it to you that others see you as masculine?","No answer","Sexual Orientation","Gay/Bisexual",1
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Father or father figure(s)","All Men",NA,64
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Father or father figure(s)","Age","18-34",58
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Father or father figure(s)","Age","35-64",66
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Father or father figure(s)","Age","65+",64
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Father or father figure(s)","Race","White",65
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Father or father figure(s)","Race","Non-White",60
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Father or father figure(s)","Children","Has Children",67
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Father or father figure(s)","Children","No Children",60
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Father or father figure(s)","Sexual Orientation","Straight",65
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Father or father figure(s)","Sexual Orientation","Gay/Bisexual",59
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Mother or mother figure(s)","All Men",NA,41
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Mother or mother figure(s)","Age","18-34",42
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Mother or mother figure(s)","Age","35-64",41
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Mother or mother figure(s)","Age","65+",42
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Mother or mother figure(s)","Race","White",42
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Mother or mother figure(s)","Race","Non-White",40
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Mother or mother figure(s)","Children","Has Children",43
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Mother or mother figure(s)","Children","No Children",39
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Mother or mother figure(s)","Sexual Orientation","Straight",41
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Mother or mother figure(s)","Sexual Orientation","Gay/Bisexual",40
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Friends","All Men",NA,35
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Friends","Age","18-34",42
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Friends","Age","35-64",33
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Friends","Age","65+",31
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Friends","Race","White",35
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Friends","Race","Non-White",36
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Friends","Children","Has Children",31
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Friends","Children","No Children",40
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Friends","Sexual Orientation","Straight",34
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Friends","Sexual Orientation","Gay/Bisexual",43
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other family members","All Men",NA,35
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other family members","Age","18-34",37
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other family members","Age","35-64",36
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other family members","Age","65+",31
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other family members","Race","White",34
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other family members","Race","Non-White",37
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other family members","Children","Has Children",36
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other family members","Children","No Children",34
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other family members","Sexual Orientation","Straight",35
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other family members","Sexual Orientation","Gay/Bisexual",37
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Pop culture","All Men",NA,23
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Pop culture","Age","18-34",42
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Pop culture","Age","35-64",17
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Pop culture","Age","65+",12
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Pop culture","Race","White",21
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Pop culture","Race","Non-White",29
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Pop culture","Children","Has Children",13
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Pop culture","Children","No Children",35
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Pop culture","Sexual Orientation","Straight",20
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Pop culture","Sexual Orientation","Gay/Bisexual",44
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other (please specify)","All Men",NA,17
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other (please specify)","Age","18-34",11
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other (please specify)","Age","35-64",18
"Where have you gotten your ideas about what it means to be a good man? (Select all that apply.)","Other (please specify)","Age","65+",21
